transcript,ticker,event_date,sentiment_index,close_before,close_after,close_before_date,close_after_date,price_change_pct,price_up
AAPL_2018_Q3_20180801,AAPL,2018-08-01,0.8958122185619178,47.5724983215332,51.84749984741211,2018-07-31,2018-08-02,0.08986287617238448,1
AAPL_2018_Q4_20181102,AAPL,2018-11-02,0.8257250912202947,55.55500030517578,50.397499084472656,2018-11-01,2018-11-05,-0.09283594982219137,0
AAPL_2019_Q1_20190130,AAPL,2019-01-30,0.7416641017092995,38.66999816894531,41.61000061035156,2019-01-29,2019-01-31,0.07602799536120164,1
AAPL_2019_Q2_20190501,AAPL,2019-05-01,0.8866893436733051,50.16749954223633,52.287498474121094,2019-04-30,2019-05-02,0.042258413339893997,1
AAPL_2019_Q3_20190730,AAPL,2019-07-30,0.9129891506337718,52.41999816894531,53.2599983215332,2019-07-29,2019-07-31,0.016024421631619285,1
AAPL_2019_Q4_20191031,AAPL,2019-10-31,0.9577741220900555,60.814998626708984,63.95500183105469,2019-10-30,2019-11-01,0.05163205254051693,1
AAPL_2020_Q1_20200129,AAPL,2020-01-29,0.8493090319685893,79.42250061035156,80.96749877929688,2020-01-28,2020-01-30,0.01945290260407571,1
AAPL_2020_Q2_20200501,AAPL,2020-05-01,0.7229295217582388,73.44999694824219,73.29000091552734,2020-04-30,2020-05-04,-0.0021782986979235375,0
AAPL_2020_Q3_20200731,AAPL,2020-07-31,0.7742822154987222,96.19000244140625,108.9375,2020-07-30,2020-08-03,0.13252414216704939,1
AAPL_2020_Q4_20201030,AAPL,2020-10-30,0.8371142080974816,115.31999969482422,108.7699966430664,2020-10-29,2020-11-02,-0.05679850042569666,0
AAPL_2021_Q1_20210128,AAPL,2021-01-28,0.812317287985035,142.05999755859375,131.9600067138672,2021-01-27,2021-01-29,-0.07109665647122614,0
AAPL_2021_Q2_20210429,AAPL,2021-04-29,0.8605527342608612,133.5800018310547,131.4600067138672,2021-04-28,2021-04-30,-0.015870602546246136,0
AAPL_2021_Q3_20210728,AAPL,2021-07-28,0.8210199400284461,146.77000427246094,145.63999938964844,2021-07-27,2021-07-29,-0.007699154118131531,0
AAPL_2021_Q4_20211028,AAPL,2021-10-28,0.8147484157663297,148.85000610351562,149.8000030517578,2021-10-27,2021-10-29,0.006382243260249016,1
AAPL_2022_Q1_20220127,AAPL,2022-01-27,0.842743575554691,159.69000244140625,170.3300018310547,2022-01-26,2022-01-28,0.06662908902861646,1
AAPL_2022_Q2_20220428,AAPL,2022-04-28,0.7236248021110734,156.57000732421875,157.64999389648438,2022-04-27,2022-04-29,0.006897787071244323,1
AAPL_2022_Q3_20220728,AAPL,2022-07-28,0.5613873566454667,156.7899932861328,162.50999450683594,2022-07-27,2022-07-29,0.036481927837476516,1
AAPL_2022_Q4_20221027,AAPL,2022-10-27,0.8367969554008737,149.35000610351562,155.74000549316406,2022-10-26,2022-10-28,0.04278539757955872,1
