transcript,ticker,event_date,sentiment_index,close_before,close_after,close_before_date,close_after_date,price_change_pct,price_up,benchmark_return,abnormal_return,CAR
NFLX_2021_Q3_20211019,NFLX,2021-10-19,0.9324807422036742,637.969970703125,625.1400146484375,2021-10-18,2021-10-20,-0.020110595551303515,0,0.011084458771890682,-0.031195054323194197,-0.5691782051579852
NFLX_2021_Q4_20220120,NFLX,2022-01-20,0.7156151224132195,515.8599853515625,397.5,2022-01-19,2022-01-21,-0.22944207481202342,0,-0.02974343031395143,-0.19969864449807198,-0.7688768496560572
NFLX_2022_Q1_20220419,NFLX,2022-04-19,0.8365402944427207,337.8599853515625,226.19000244140625,2022-04-18,2022-04-20,-0.3305214815360786,0,0.015429198055943059,-0.34595067959202164,-1.1148275292480787
NFLX_2022_Q2_20220719,NFLX,2022-07-19,0.8174555193736545,190.9199981689453,216.44000244140625,2022-07-18,2022-07-20,0.13366857593345596,1,0.03368698889221843,0.09998158704123752,-1.0148459422068412
NFLX_2022_Q3_20221018,NFLX,2022-10-18,0.955233655132944,245.10000610351562,272.3800048828125,2022-10-17,2022-10-19,0.1113015018358483,1,0.004679226516395779,0.10662227531945252,-0.9082236668873886
NFLX_2022_Q4_20230119,NFLX,2023-01-19,0.9666741957371113,326.3299865722656,342.5,2023-01-18,2023-01-20,0.04955111112399575,1,0.011135545375452124,0.03841556574854363,-0.869808101138845
NFLX_2023_Q1_20230418,NFLX,2023-04-18,0.959185588943559,332.7200012207031,323.1199951171875,2023-04-17,2023-04-19,-0.02885310792346281,0,0.0007708862357051121,-0.029623994159167923,-0.8994320952980129
NFLX_2023_Q2_20230719,NFLX,2023-07-19,0.9064375163037995,474.79998779296875,437.4200134277344,2023-07-18,2023-07-20,-0.07872783345886163,0,-0.004414918038603653,-0.07431291542025797,-0.9737450107182709
NFLX_2023_Q3_20231018,NFLX,2023-10-18,0.9661353472789079,355.7200012207031,401.7699890136719,2023-10-17,2023-10-19,0.12945571695418237,1,-0.02176900005962274,0.1512247170138051,-0.8225202937044658
NFLX_2023_Q4_20240123,NFLX,2024-01-23,1.0,485.7099914550781,544.8699951171875,2024-01-22,2024-01-24,0.12180108439787142,1,0.003735674620515799,0.11806540977735562,-0.7044548839271102
NFLX_2024_Q1_20240418,NFLX,2024-04-18,0.9297581654505689,613.6900024414062,555.0399780273438,2024-04-17,2024-04-19,-0.09556946370437618,0,-0.01094736797075024,-0.08462209573362593,-0.7890769796607361
NFLX_2024_Q2_20240718,NFLX,2024-07-18,0.9660206158299345,647.4600219726562,633.3400268554688,2024-07-17,2024-07-19,-0.021808288756064418,0,-0.014900858269234953,-0.006907430486829465,-0.7959844101475656
NFLX_2024_Q3_20241017,NFLX,2024-10-17,0.9295833081214894,702.0,763.8900146484375,2024-10-16,2024-10-18,0.08816241402911325,1,0.0037997124871681875,0.08436270154194506,-0.7116217086056206
